,PI,NOME_COLOQUIAL,UF
10338,190014758,BONÉ FEM BRANCO SG 61,UNIDADE
10340,190014759,BONÉ FEM BRANCO SO 52,UNIDADE
10341,190014761,BONÉ FEM BRANCO SO 54,UNIDADE
10342,190014762,BONÉ FEM BRANCO SO 55,UNIDADE
10343,190014763,BONÉ FEM BRANCO SO 56,UNIDADE
10347,190014767,BONÉ FEM BRANCO SO 60,UNIDADE
10349,190014768,BONÉ FEM BRANCO SO 61,UNIDADE
10351,190012490,TÚNICA FEM BRANCA CURTA 52 E SAIA (100%POL),UNIDADE
10353,190013026,DIOSMINA + HESPERIDINA 450MG + 50MG COMPRIMIDO REVESTIDO (VO),TABLETE
10358,190011878,CALÇA AZUL-MESCLA 54,UNIDADE
10362,190012541,VITAMINA K1 INJETÁVEL 10MG AMPOLA 1ML (FITOMENADIONA),AMPOLA
10371,190012397,DÓLMÃ BRANCO CFN LONGO 46 E CALÇA,UNIDADE
10372,190012371,DÓLMÃ BRANCO CFN MÉDIO 40 E CALÇA,UNIDADE
10373,190012353,DÓLMÃ BRANCO LONGO 50 E CALÇA,UNIDADE
10374,190013677,CHAVE HEXAGONAL (ALLEN) 11 MM,UNIDADE
10376,190013678,CHAVE HEXAGONAL (ALLEN) 14 MM,UNIDADE
10378,190005174,"COLCHICINA COMPRIMIDO 0,5MG",TABLETE
10379,190007885,CLORIDRATO DE METFORMINA 850MG COMPRIMIDO REVESTIDO (VO),TABLETE
10400,190011565,"CABO DE NYLON TRANÇADO (DN 64 MM - CIRC. 8"")",ADUCHA
10406,190011896,CALÇÃO NATAÇÃO G,UNIDADE
10410,190013799,"JOINT,EXPANSION",UNIDADE
10411,190010534,OLEO LUBRIFICANTE MOTOR,BALDE
10413,190010548,OLEO LUBRIFICANTE ENGRENAGEM,BALDE
10420,190011696,CALÇA AZUL-FERRETE (PANAMÁ) 40,UNIDADE
10425,190012418,SAIA BRANCA 42 (100%POL),UNIDADE
10427,190012419,SAIA BRANCA 44 (100%POL),UNIDADE
10439,190014332,BONÉ FEM BRANCO OF SUP 56,UNIDADE
10441,190014333,BONÉ FEM BRANCO OF SUP 57,UNIDADE
10443,190014765,BONÉ FEM BRANCO SO 58,UNIDADE
10444,190014766,BONÉ FEM BRANCO SO 59,UNIDADE
10446,190012504,TÚNICA FEM BRANCA MEDIA 50 E SAIA (100%POL),UNIDADE
10449,190014974,BERMUDA FEM CINZA 48,UNIDADE
10450,190005226,METRONIDAZOL INJETÁVEL 500MG (5MG/ML) FRASCO 100ML,FRASCO
10472,190012506,TÚNICA FEM BRANCA MEDIA 54 E SAIA (100%POL),UNIDADE
10474,190012507,TÚNICA FEM BRANCA LONGA 48 E SAIA (100%POL),UNIDADE
10476,190011897,CALÇÃO NATAÇÃO M,UNIDADE
10481,190011898,CALÇÃO NATAÇÃO XG,UNIDADE
10486,190011899,CALÇÃO NATAÇÃO XGG,UNIDADE
10490,190011900,CALÇÃO NATAÇÃO PP,UNIDADE
10494,190011901,CALÇÃO NATAÇÃO P,UNIDADE
10496,190012475,CALÇA FEM BEGE 52 (100%POL) CFN/EFOMM,UNIDADE
10498,190012478,CALÇA FEM BEGE 40 (100%POL) CFN/EFOMM,UNIDADE
10499,190012085,GANDOLA CAMUFLADA 1,UNIDADE
10503,190012086,GANDOLA CAMUFLADA 4,UNIDADE
10508,190012087,GANDOLA CAMUFLADA 3,UNIDADE
10510,190012351,DÓLMÃ BRANCO LONGO 46 E CALÇA,UNIDADE
10511,190012398,DÓLMÃ BRANCO CFN LONGO 48 E CALÇA,UNIDADE
10512,190016881,"LÂMINA PARA ARCO DE SERRA (12"" - 18 DENTES/POL)",UNIDADE
10514,190016722,GORRO DE COZINHEIRO 59,UNIDADE
10515,190015076,CONTATOR,UNIDADE
10516,190014693,BONÉ FEM CINZA OF GM ASP 58,UNIDADE
10518,190014695,BONÉ FEM CINZA OF GM ASP 60,UNIDADE
10520,190014699,BONÉ FEM CINZA OF SUP 54,UNIDADE
10521,190014702,BONÉ FEM CINZA OF SUP 57,UNIDADE
10522,190015318,INSÍGNIA BRAÇO AZUL-FERR 1SG-CN,PAR
10525,190015320,INSÍGNIA BRAÇO AZUL-FERR 1SG-CP,PAR
10527,190015322,INSÍGNIA BRAÇO AZUL-FERR 1SG-DT,PAR
10535,190014264,BOTA SEGURANCA BORRACHA CANO LONGO T-44,PAR
10539,190014375,BOTA DE COZINHEIRO 40,PAR
10540,190014187,ENVELOPE PARDO 250 X 353 MM,CENTENA
10543,190014721,BONÉ FEM CINZA SG 56,UNIDADE
10544,190014723,BONÉ FEM CINZA SG 58,UNIDADE
10547,190014725,BONÉ FEM CINZA SG 60,UNIDADE
10548,190017010,CADARÇO AZUL P/TALIM S/FRISO 40MM,METRO
10550,190014218,BONÉ BRANCO SG 57,UNIDADE
10553,190014174,BONÉ CINZA OF GM ASP 60,UNIDADE
10555,190014719,BONÉ FEM CINZA SG 54,UNIDADE
10558,190012508,TÚNICA FEM BRANCA LONGA 50 E SAIA (100%POL),UNIDADE
10561,190012509,TÚNICA FEM BRANCA LONGA 52 E SAIA (100%POL),UNIDADE
10563,190012510,TÚNICA FEM BRANCA LONGA 54 E SAIA (100%POL),UNIDADE
10565,190012511,SAIA BRANCA 54 (100%POL),UNIDADE
10569,190012512,BLUSA BRANCA M/M C/PASS (BOLSO RETO) 52,UNIDADE
10572,190012470,CALÇA FEM BEGE 42 (100%POL) CFN/EFOMM,UNIDADE
10574,190012476,CALÇA FEM BEGE 54 (100%POL) CFN/EFOMM,UNIDADE
10575,190012324,BLUSA CINZA M/M (BOLSO RETO) 48,UNIDADE
10582,190012406,JALECO BRANCO 42 (100%POL),UNIDADE
10586,190012525,"CLORIDRATO DE BROMEXINA 96MG (0,8MG/ML) XAROPE - FRASCO 120ML (VO)",FRASCO
10591,190012088,GANDOLA CAMUFLADA 2,UNIDADE
10600,190012089,GANDOLA CAMUFLADA 5,UNIDADE
10601,190012093,MACACÃO CINZA 38,UNIDADE
10602,190012094,MACACÃO CINZA 40,UNIDADE
10603,190012099,MACACÃO CINZA 50,UNIDADE
10606,190012102,MACACÃO CINZA 58,UNIDADE
10611,190012103,MACACÃO CINZA 60,UNIDADE
10613,190012105,CALÇA CAMUFLADA 36,UNIDADE
10616,190012342,DÓLMÃ BRANCO MÉDIO 50 E CALÇA,UNIDADE
10617,190013617,"TESOURA MANUAL DE CORTE DE METAL (10"")",UNIDADE
10618,190012285,CAMISA BRANCA M/M C/PASS (BOLSO RETO) 3,UNIDADE
10622,190015323,INSÍGNIA BRAÇO AZUL-FERR 1SG-EF,PAR
10623,190015328,INSÍGNIA BRAÇO AZUL-FERR 1SG-ES CAP/CFN,PAR
10626,190015329,INSÍGNIA BRAÇO AZUL-FERR 1SG-ET,PAR
10629,190015616,INSÍGNIA PEITO AZUL-FERR SO-CO,UNIDADE
10630,190014969,BERMUDA FEM CINZA 38,UNIDADE
10632,190015331,INSÍGNIA BRAÇO AZUL-FERR 1SG-HN,PAR
10634,190015333,INSÍGNIA BRAÇO AZUL-FERR 1SG-MC,PAR
10637,190015334,INSÍGNIA BRAÇO AZUL-FERR 1SG-ME,PAR
10638,190015336,INSÍGNIA BRAÇO AZUL-FERR 1SG-MO,PAR
10642,190015339,INSÍGNIA BRAÇO AZUL-FERR 1SG-MT,PAR
10644,190015341,INSÍGNIA BRAÇO AZUL-FERR 1SG-OS,PAR
10646,190015347,INSÍGNIA BRAÇO AZUL-FERR CB-ME,PAR
10649,190015348,INSÍGNIA BRAÇO AZUL-FERR CB-MG,PAR
10650,190015350,INSÍGNIA BRAÇO AZUL-FERR CB-MT,PAR
10651,190015351,INSÍGNIA BRAÇO AZUL-FERR CB-OR,PAR
10652,190015353,INSÍGNIA BRAÇO AZUL-FERR CB-PL,PAR
10653,190014726,BONÉ FEM CINZA SG 61,UNIDADE
10654,190014611,MOCASSIM FEM PRETO S/MEDIO 38,PAR
10656,190014216,BONÉ BRANCO SG 55,UNIDADE
10658,190014738,MACACÃO CAMUFLADO 42,UNIDADE
10660,190014343,JAQUETÃO AZUL COMP FEM MEDIO (PANAMÁ) 50,UNIDADE
10662,190014381,BLUSA AZUL-MESCLA M/M (BOLSO RETO) 52,UNIDADE
10663,190012426,CALÇA FEM BRANCA 40 (100%POL),UNIDADE
10665,190012465,CALÇA FEM BRANCA 54 (100%POL),UNIDADE
10669,190014268,ENVELOPE PARDO 324 X 450 MM,CENTENA
10673,190014523,JAQUETÃO AZUL CURTO 46 E CALÇA,UNIDADE
10675,190014524,JAQUETÃO AZUL CURTO 48 E CALÇA,UNIDADE
10686,190012526,BAMIFILINA 300MG COMPRIMIDO REVESTIDO,TABLETE
10701,190010607,DIAZEPAM INJETÁVEL 10MG (5MG/ML) AMPOLA 2ML,AMPOLA
10707,190013920,BONÉ BRANCO EFOMM 53,UNIDADE
10709,190013921,BONÉ BRANCO EFOMM 54,UNIDADE
10710,190013922,BONÉ BRANCO EFOMM 55,UNIDADE
10713,190013923,BONÉ BRANCO EFOMM 56,UNIDADE
10716,190013926,BONÉ BEGE SO 59,UNIDADE
10718,190005167,MESILATO DE DOXAZOSINA 4MG COMPRIMIDO REVESTIDO DE LIBERAÇÃO PROLONGADA (VO),TABLETE
10719,190012493,TÚNICA FEM BRANCA LONGA 38 E SAIA (100%POL),UNIDADE
10724,190012736,,UNIDADE
10725,190012458,CAXANGÁ 56 (100%POL),UNIDADE
10729,190015380,INSÍGNIA BRAÇO BEGE 1SG-CN,PAR
10730,190015372,INSÍGNIA BRAÇO BRANCA CB-MR,PAR
10733,190015373,INSÍGNIA BRAÇO BRANCA CB-MT,PAR
10735,190015309,INSÍGNIA JALECO VERMELHA VALTE-MD,UNIDADE
10736,190015288,INSÍGNIA JALECO VERMELHA CC-MD,UNIDADE
10738,190015299,INSÍGNIA JALECO VERMELHA CT-MD,UNIDADE
10739,190014929,COLHER CAFE TIPO 2,DUZIA
10744,190014925,"ALICATE DE CORTE FRONTAL ISOLADO 1000 V (6.1/2"")",UNIDADE
10750,190014952,"DEFENSA SISAL, CILINDRICA VERTICAL 30X90X94CM",UNIDADE
10752,190014953,"DEFENSA DE SISAL, CILINDRICA VERTICAL (35 X 90 X 110 MM)",UNIDADE
10755,190015562,INSÍGNIA PEITO AZUL-FERR VA-CA,UNIDADE
10758,190014601,MOCASSIM FEM PRETO S/BAIXO 38,PAR
10759,190014612,MOCASSIM FEM PRETO S/MEDIO 39,PAR
10761,190014613,MOCASSIM FEM PRETO S/MEDIO 40,PAR
10770,190010249,FLUCONAZOL CÁPSULA 150MG (VO),CAPSULA
10782,190012630,BOTA DE VÔO 42,PAR
10785,190012631,GORRO BEGE 52 (100%POL),UNIDADE
10786,190012336,DÓLMÃ BRANCO CURTO 60 E CALÇA,UNIDADE
10789,190013608,CABO TORCIDO POLIPROPILENO 76MM (3 POL),ADUCHA
10793,190012738,REDUÇÃO,UNIDADE
10794,190012739,,UNIDADE
10795,190002485,FGT MAN VRM PQD,UNIDADE
10797,190010515,OLEO LUBRIFICANTE MOTOR,BALDE
10804,190005236,NAPROXENO COMPRIMIDO 500MG,TABLETE
10818,190015568,INSÍGNIA PEITO AZUL-FERR CC-S,UNIDADE
10819,190015611,INSÍGNIA PEITO AZUL-FERR PRÁT MÁQ,UNIDADE
10821,190015612,INSÍGNIA PEITO AZUL-FERR PRATICANTE NÁUTICA,UNIDADE
10825,190015613,INSÍGNIA PEITO AZUL-FERR CN-1ANO,UNIDADE
10827,190015354,INSÍGNIA BRAÇO AZUL-FERR CB-SI,PAR
10828,190015360,INSÍGNIA BRAÇO AZUL-FERR 3SG-PL,PAR
10831,190015361,INSÍGNIA BRAÇO AZUL-FERR 3SG-SI,PAR
10832,190015365,INSÍGNIA BRAÇO AZUL-FERR CFN 1SG-IF,PAR
10833,190015370,INSÍGNIA BRAÇO BRANCA CB-MG,PAR
10834,190015371,INSÍGNIA BRAÇO BRANCA CB-MO,PAR
10838,190015374,INSÍGNIA BRAÇO BRANCA CB-OR,PAR
10841,190015376,INSÍGNIA BRAÇO BEGE 1SG-AV,PAR
10843,190014955,DEFENSA CILINDRICA VERTICAL SISAL 30 X 90CM,UNIDADE
10846,190014970,BERMUDA FEM CINZA 40,UNIDADE
10847,190014971,BERMUDA FEM CINZA 42,UNIDADE
10848,190015063,MALEATO DE DEXCLORFENIRAMINA 2 MG - COMPRIMIDO (VO),TABLETE
10860,190014924,"ALICATE DE CORTE DIAGONAL ISOLADO 1000 V (6"")",UNIDADE
10873,190012337,DÓLMÃ BRANCO MÉDIO 40 E CALÇA,UNIDADE
10874,190012340,DÓLMÃ BRANCO MÉDIO 46 E CALÇA,UNIDADE
10875,190012341,DÓLMÃ BRANCO MÉDIO 48 E CALÇA,UNIDADE
10876,190000118,SAPATO BRANCO COM CADARÇO 40,PAR
10882,190012407,JALECO BRANCO 44 (100%POL),UNIDADE
10886,190012408,JALECO BRANCO 46 (100%POL),UNIDADE
10890,190012409,JALECO BRANCO 48 (100%POL),UNIDADE
10894,190012410,JALECO BRANCO 50 (100%POL),UNIDADE
10895,190012411,JALECO BRANCO 52 (100%POL),UNIDADE
10898,190012414,JALECO BRANCO 58 (100%POL),UNIDADE
10899,190012415,SAIA BRANCA 36 (100%POL),UNIDADE
10902,190012416,SAIA BRANCA 38 (100%POL),UNIDADE
10904,BR2179339,OLEO LUBRIFICANTE MINERAL CILINDRO VAPOR,BALDE
10906,190010680,"CUNHA MADEIRA 5,2X5,1X30,5CM (2X2X12 POL)",UNIDADE
10907,190010678,"CUNHA MADEIRA 5,1X10,2X40,6 CM (2 X 4 X 16 POL)",UNIDADE
10908,190010233,"FLUMAZENIL SOLUÇÃO INJETÁVEL 0,1MG/ML AMPOLA 5ML (IV) (C1)",AMPOLA
10909,190000936,CAPTOPRIL COMPRIMIDO 25MG,TABLETE
10932,190014973,BERMUDA FEM CINZA 46,UNIDADE
10934,190014975,BERMUDA FEM CINZA 50,UNIDADE
10937,190014976,BERMUDA FEM CINZA 52,UNIDADE
10938,190012446,REMOVEDOR CERA 5 LITROS,BOMBONA
10941,190014579,MOCASSIM FEM BRANCO S/BAIXO 36,PAR
10942,190014184,CONCHA SOPA TIPO 2,UNIDADE
10947,190017020,INSÍGNIA OMBRO PLATINA MÁQUINA PRAT,PAR
10951,190017027,GRAVATA PRETA VERTICAL,UNIDADE
10956,190017193,PRATO FUNDO TIPO 2,UNIDADE
10963,190017194,PRATO RASO TIPO 2,UNIDADE
10970,190017028,INSÍGNIA PUNHO CC-CA,PAR
10974,190017029,INSÍGNIA PUNHO CF-CA,PAR
10977,190012417,SAIA BRANCA 40 (100%POL),UNIDADE
10978,190012420,SAIA BRANCA 46 (100%POL),UNIDADE
10981,190012421,SAIA BRANCA 48 (100%POL),UNIDADE
10986,190012422,SAIA BRANCA 50 (100%POL),UNIDADE
10988,190012423,SAIA BRANCA 52 (100%POL),UNIDADE
10991,190012428,CALÇA FEM BRANCA 44 (100%POL),UNIDADE
10993,190012441,CALÇA BRANCA 52 (100%POL),UNIDADE
10999,190012442,CALÇA BRANCA 56 (100%POL),UNIDADE
11003,190012443,CALÇA BRANCA 58 (100%POL),UNIDADE
11010,190004936,CAPUZ ANTI-FLASHING (NÃO É ANTICHAMAS),UNIDADE
11018,190012168,AMORTECEDOR,UNIDADE
11021,190010682,"CUNHA MADEIRA 7,6X15,2X45,7 CM (3 X 6 X 18POL)",UNIDADE
11022,190012435,CALÇA BRANCA 40 (100%POL),UNIDADE
11026,190012436,CALÇA BRANCA 42 (100%POL),UNIDADE
11031,190010685,"CUNHA MADEIRA 5,1X15,2X30,5CM (2X6X12 POL)",UNIDADE
11035,190015082,CETOPROFENO INJETÁVEL 100MG FRASCO AMPOLA,FRASCO
11056,190014545,JAQUETÃO AZUL COMP FEM LONGO (PANAMÁ) 44,UNIDADE
11059,190014522,JAQUETÃO AZUL CURTO 44 E CALÇA,UNIDADE
11061,190014230,BONÉ BRANCO SO 60,UNIDADE
11066,190014694,BONÉ FEM CINZA OF GM ASP 59,UNIDADE
11068,190014363,JAQUETÃO AZUL MÉDIO 46 E CALÇA,UNIDADE
11070,190014211,BONÉ BRANCO OF SUP 59,UNIDADE
11080,190012444,CALÇA BRANCA 54 (100%POL),UNIDADE
11084,190010311,LEVOTIROXINA SÓDICA 100MCG COMPRIMIDO  (VO),TABLETE
11104,190012366,DÓLMÃ BRANCO CFN CURTO 54 E CALÇA,UNIDADE
11132,190015086,CAPACETE DE SEGURANÇA COM VISEIRA (BOMBEIRO),UNIDADE
11137,190014703,BONÉ FEM CINZA OF SUP 58,UNIDADE
11138,190014704,BONÉ FEM CINZA OF SUP 59,UNIDADE
11139,190014741,MACACÃO CAMUFLADO 48,UNIDADE
11141,190014745,MACACÃO CAMUFLADO 56,UNIDADE
11142,190014746,MACACÃO CAMUFLADO 58,UNIDADE
11143,190014750,BONÉ FEM BRANCO SG 53,UNIDADE
11145,190014752,BONÉ FEM BRANCO SG 55,UNIDADE
11148,190014753,BONÉ FEM BRANCO SG 56,UNIDADE
11152,190014754,BONÉ FEM BRANCO SG 57,UNIDADE
11157,190014609,MOCASSIM FEM PRETO S/MEDIO 36,PAR
11159,190014610,MOCASSIM FEM PRETO S/MEDIO 37,PAR
11161,190014614,MOCASSIM FEM PRETO S/MEDIO 41,PAR
11162,190016835,DISTINTIVO BORDADO PUNHO SO-TI,PAR
11163,190015156,INSÍGNIA BRAÇO AZUL-FERR 2SG-MC,PAR
11165,190015158,INSÍGNIA BRAÇO AZUL-FERR 2SG-MO,PAR
11168,190015159,INSÍGNIA BRAÇO AZUL-FERR 2SG-MR,PAR
11170,190015162,INSÍGNIA BRAÇO AZUL-FERR 2SG-OS,PAR
11172,190017471,SAPATO FEM PRETO S/MEDIO 42,PAR
11174,190017472,SAPATO FEM PRETO S/MEDIO 40,PAR
11178,190017473,SAPATO FEM PRETO S/MEDIO 34,PAR
11179,190017477,INSÍGNIA GOLA DIST CC,UNIDADE
11181,190015289,INSÍGNIA JALECO VERMELHA CC-S,UNIDADE
11183,190015355,INSÍGNIA BRAÇO AZUL-FERR CB-TI,PAR
11186,190015293,INSÍGNIA JALECO VERMELHA CMG-CD,UNIDADE
11187,190015335,INSÍGNIA BRAÇO AZUL-FERR 1SG-MG,PAR
11189,190015180,INSÍGNIA BRAÇO AZUL-FERR 2SG-CN,PAR
11192,190015219,INSÍGNIA BRAÇO VERDE-MUSGO CB-EG,PAR
11193,190015942,INSÍGNIA BRAÇO BRANCA CB-CN,PAR
11196,190015943,INSÍGNIA BRAÇO BRANCA CB-CO,PAR
11199,190015944,INSÍGNIA BRAÇO BRANCA CB-CP,PAR
11200,190015946,INSÍGNIA BRAÇO BRANCA CB-DT,PAR
11201,190015947,INSÍGNIA BRAÇO BRANCA CB-EF,PAR
11203,190016866,DISTINTIVO CFN GOLA,PAR
11206,190016867,DISTINTIVO GOLA JAQUETA DESF EN,PAR
11210,190017008,CADARÇO AZUL P/TALIM C/FRISO 20MM,METRO
11216,190017165,CHAPÉU FEM BRANCO 56,UNIDADE
11220,190017166,CHAPÉU FEM BRANCO 57,UNIDADE
11224,190017167,CHAPÉU FEM BRANCO 58,UNIDADE
11226,190017168,CHAPÉU FEM BRANCO 59,UNIDADE
11229,190017170,CHAPÉU FEM BRANCO 61,UNIDADE
11230,190019206,MANOMETRO,UNIDADE
11232,190019208,ANEL O,UNIDADE
11233,190019211,ANEL O,UNIDADE
11236,190019212,VALVULA REGULADORA PRESSAO,UNIDADE
11237,190019213,JUNTA,UNIDADE
11239,190019214,SENSOR,UNIDADE
11241,190019215,SENSOR TEMPERATURA,UNIDADE
11243,190016041,MOLA VALVULA,UNIDADE
11244,190018966,DÓLMÃ BRANCO SOB MEDIDA E CALÇA,UNIDADE
11248,190018614,DÓLMÃ PARA SERVIR CB/MN 40,UNIDADE
11251,190015948,INSÍGNIA BRAÇO BRANCA CB-EL,PAR
11254,190017880,INSÍGNIA OMBRO PLATINA CT-CA,PAR
11259,190016481,CAMISA CINZA M/L (BOLSO RETO) 5,UNIDADE
11261,190016482,CAMISA CINZA M/L (BOLSO RETO) 6,UNIDADE
11263,190016516,INSÍGNIA BRAÇO CINZA 2SG-PL,PAR
11266,190016519,INSÍGNIA BRAÇO CINZA 3SG-AD,PAR
11271,190016520,INSÍGNIA BRAÇO CINZA 3SG-AM,PAR
11275,190016521,INSÍGNIA BRAÇO CINZA 2SG-BA,PAR
11278,190016422,FACA DE SOBREMESA TIPO 1,DUZIA
11288,190016441,INSÍGNIA BRAÇO CINZA 2SG-AD,PAR
11291,190016446,ABRACADEIRA ACO 51 X 64MM,UNIDADE
11295,190013457,PAVILHAO ALMIRANTADO TIPO 2,UNIDADE
11298,190013458,PAVILHAO COMANDANTE OPERACOES NAVAIS TIPO 1,UNIDADE
11302,190013589,PAVILHAO CAPITAO PORTOS TIPO 2,UNIDADE
11306,190010231,"ENOXAPARINA  INJETÁVEL 80MG (100MG/ML) SERINGA 0,8ML + SISTEMA DE SEGURANÇA COM INDICAÇÃO CONSTANTE EM BULA DE TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO COM OU SEM ELEVAÇÃO DO SEGMENTO ST.",UNIDADE
11311,190017103,INSÍGNIA OMBRO PLATINA EN-4ANO-IM,PAR
11313,190017104,INSÍGNIA OMBRO PLATINA EN-4ANO-FN,PAR
11316,190017105,INSÍGNIA GOLA DIST CN 1 ANO,UNIDADE
11319,190017109,INSÍGNIA GOLA DIST MD-ALTE,UNIDADE
11321,190016936,"ALICATE DE PRESSÃO AJUSTÁVEL (10"")",UNIDADE
11326,190018641,"LUVA BRANCA TAM. 8,5 CM.",PAR
11330,190016708,COTURNO DE SELVA 43,PAR
11331,190017111,INSÍGNIA GOLA DIST IM-ALTE,UNIDADE
11333,190017190,"ADAPTADOR ENGATE RÁPIDO X ROSCA MACHO (2.1/2"" X 2.1/2"")",UNIDADE
11339,190016330,COTURNO DE SELVA 45,PAR
11340,190016676,FIVELA PARA CINTO,UNIDADE
11347,190016944,LUVA DE RASPA CINZA COM PUNHO (TAM G),PAR
11352,190017155,CHAPÉU BRANCO MN 56,UNIDADE
11367,190009761,"ENOXAPARINA  INJETÁVEL 40MG (100MG/ML) SERINGA 0,4ML + SISTEMA DE SEGURANÇA COM INDICAÇÃO CONSTANTE EM BULA DE TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO COM OU SEM ELEVAÇÃO DO SEGMENTO ST.",UNIDADE
11387,190012282,BLUSA BRANCA M/M C/PASS (BOLSO RETO) 50,UNIDADE
11389,190018647,CONCHA DE MOLHO TIPO 1,UNIDADE
11391,190015215,INSÍGNIA BRAÇO VERDE-MUSGO CB-AV,PAR
11394,190015216,INSÍGNIA BRAÇO VERDE-MUSGO CB-CN,PAR
11396,190014418,BARRETA MÉRITO ANFÍBIO 1 ÂNCORA,UNIDADE
11397,190014420,BARRETA MÉRITO ANFÍBIO 3 ÂNCORAS,UNIDADE
11398,190014530,JAQUETÃO AZUL COMP FEM CURTO (PANAMÁ) 36,UNIDADE
11400,190014547,JAQUETÃO AZUL COMP FEM LONGO (PANAMÁ) 48,UNIDADE
11403,190014550,JAQUETÃO AZUL COMP FEM LONGO (PANAMÁ) 54,UNIDADE
11405,190014551,JAQUETÃO AZUL COMP FEM LONGO (PANAMÁ) 56,UNIDADE
11407,190014346,JAQUETÃO AZUL COMP FEM MEDIO (PANAMÁ) 56,UNIDADE
11410,190017154,CHAPÉU BRANCO MN 55,UNIDADE
11416,190016445,ABRACADEIRA ACO 19 X 27MM,UNIDADE
11420,190016447,ABRACADEIRA ACO 57 X 76MM,UNIDADE
11423,190016346,INSÍGNIA GOLA DIST QAS,UNIDADE
11426,190016970,"ESGUICHO ELKHART (1 1/2"") STORZ",UNIDADE
11436,190026191,ROLAMENTO ROLETE,UNIDADE
11438,190016949,TAMPAO STORZ 2 1/2IN,UNIDADE
11440,190018655,COPO DE ÁGUA TIPO 1,UNIDADE
11442,190018646,COLHER REFRESCO TIPO 1,DUZIA
11443,190018627,GARFO DE TRINCHAR CARNE TIPO 1,UNIDADE
11448,190015985,INSÍGNIA BRAÇO BRANCA CB-OS,PAR
11451,190015986,INSÍGNIA BRAÇO BRANCA CB-PL,PAR
11455,190015987,INSÍGNIA BRAÇO BRANCA CB-SI,PAR
11456,190015991,DIPIRONA + ORFENADRINA + CAFEÍNA COMPRIMIDO (300MG + 35MG + 50MG),TABLETE
11458,190013473,FLAMULA COMANDO TIPO 2,UNIDADE
11465,190013465,FLAMULA OFICIAL SUPERIOR TIPO 1,UNIDADE
11472,190013670,CHAVE HEXAGONAL (ALLEN) 2 MM,UNIDADE
11474,190017478,COLETE SALVA-VIDAS TIPO CANGA CLASSE II,UNIDADE
11476,190017486,TECIDO 100% POL AZUL-FERRETE,METRO
11478,190015271,INSÍGNIA JALECO VERMELHA 1T-CD,UNIDADE
11479,190015308,INSÍGNIA JALECO VERMELHA SO-EF,UNIDADE
11481,190015278,INSÍGNIA JALECO VERMELHA 2SG-EF,UNIDADE
11484,190015182,INSÍGNIA BRAÇO AZUL-FERR 2SG-AR,PAR
11485,190015185,INSÍGNIA BRAÇO AZUL-FERR 2SG-AM/AT,PAR
11488,190015170,INSÍGNIA BRAÇO AZUL-FERR 3SG-BA,PAR
11489,190014310,BONÉ FEM BRANCO EFOMM 54,UNIDADE
11490,190015471,INSÍGNIA BRAÇO CINZA CB-CO,PAR
11492,190017009,CADARÇO AZUL P/TALIM C/FRISO 40MM,METRO
11493,190016829,DISTINTIVO BORDADO PUNHO SO-MT,PAR
11494,190016830,DISTINTIVO BORDADO PUNHO SO-MU,PAR
11495,190016831,DISTINTIVO BORDADO PUNHO SO-OR,PAR
11498,190016832,DISTINTIVO BORDADO PUNHO SO-OS,PAR
11499,190016833,DISTINTIVO BORDADO PUNHO SO-PL,PAR
11500,190016834,DISTINTIVO BORDADO PUNHO SO-SI,PAR
11502,190016838,DISTINTIVO BORDADO PUNHO SO-EL,PAR
11503,190017018,SANDALIA PRETA 35/36,PAR
11506,190017022,CINTO BRANCO EXTERNO FN,UNIDADE
11509,190017023,INSÍGNIA OMBRO PLATINA 2T-MD SM-CONV,PAR
11511,190017024,INSÍGNIA OMBRO PLATINA 2T-CD SM-CONV,PAR
11513,190017025,INSÍGNIA GOLA DIST EFOMM 2 ANO,UNIDADE
11515,190017118,INSÍGNIA GOLA DIST QT,UNIDADE
11519,190016799,"ESCORA DE ACO TUBULAR (2,20 A 3,25 M)",UNIDADE
11520,190016735,COLHER DE MESA TIPO 1,DUZIA
11531,190015972,INSÍGNIA BRAÇO BRANCA CB-ET,PAR
11535,190015945,INSÍGNIA BRAÇO BRANCA CB-CS,PAR
11538,190015937,INSÍGNIA BRAÇO BRANCA CB-AR,PAR
11542,190015988,INSÍGNIA BRAÇO BRANCA CB-TI,PAR
11545,190015494,INSÍGNIA BRAÇO CINZA CB-OS,PAR
11570,190015337,INSÍGNIA BRAÇO AZUL-FERR 1SG-MR,PAR
11571,190010581,"BROMETO VECURÔNIO PÓ PARA SOLUÇÃO INJETÁVEL 4MG (0,8MG/ML) FRASCO AMPOLA (IV).",FRASCO
11587,190015144,INSÍGNIA BRAÇO AZUL-FERR CB-BA,PAR
11588,190015316,INSÍGNIA BRAÇO AZUL-FERR 1SG-CA,PAR
11589,190015242,INSÍGNIA BRAÇO AZUL-FERR CB-CA,PAR
11590,190015172,INSÍGNIA BRAÇO AZUL-FERR 3SG-CI,PAR
11591,190015245,INSÍGNIA BRAÇO AZUL-FERR CB-CO,PAR
11592,190015145,INSÍGNIA BRAÇO AZUL-FERR 2SG-CP,PAR
11595,190017119,INSÍGNIA OMBRO AGASALHO AZUL CMG-CA,PAR
